WORD	FREQUENCY	LENGTH	UP	POSITION	PHONE	SEQ_INFO	POSITION_INFO	MONOMORPHEME
wi	7671	2	2	1	w	5.457873264738433	3.656660362060507	F
wi	7671	2	2	2	i	4.046426084540682	2.1074155831564583	F
ah	5030	2	2	1	a	3.7635319228361683	3.200563531881547	F
ah	5030	2	2	2	h	4.290326097501534	3.940158383694673	F
yacni	3538	5	4	1	y	4.804785880728664	4.023077996935026	F
yacni	3538	5	4	2	a	0.9847694250651672	1.5141923339263639	F
yacni	3538	5	4	3	c	0.7306722086575017	3.750869769725375	F
yacni	3538	5	4	4	n	-0.0	4.217850696909578	F
yacni	3538	5	4	5	i	-0.0	2.6805268076332727	F
ana	3352	3	3	1	a	3.5452362224055456	3.200563531881547	F
ana	3352	3	3	2	n	7.112439506781552	4.186609709630285	F
ana	3352	3	3	3	a	0.034027403800193985	4.657252667805278	F
fi	2608	2	2	1	f	5.646922965150387	4.671696474591282	F
fi	2608	2	2	2	i	2.885635543947139	2.1074155831564583	F
la	2388	2	2	1	l	5.33524215463324	4.561990814572333	F
la	2388	2	2	2	a	1.4071559317543936	1.5141923339263639	F
Eh	2253	2	2	1	E	6.295722581761254	5.08285650358204	F
Eh	2253	2	2	2	h	0.796059056716806	3.940158383694673	F
ya	2108	2	2	1	y	4.43142106995398	4.023077996935026	F
ya	2108	2	2	2	a	0.6843362895836708	1.5141923339263639	F
mi$	2059	3	3	1	m	3.554265587150698	3.331579433390396	F
mi$	2059	3	3	2	i	2.4397010459719555	2.1074155831564583	F
mi$	2059	3	3	3	$	5.60768257722124	4.663793865594396	F
da	1755	2	2	1	d	5.853939629408746	5.044644412488806	F
da	1755	2	2	2	a	3.291634172573763	1.5141923339263639	F
ma	1686	2	2	1	m	3.5107459136394095	3.331579433390396	F
ma	1686	2	2	2	a	1.2115041051937117	1.5141923339263639	F
E	1643	1	1	1	E	5.850716482747121	5.08285650358204	F
kida	1634	4	4	1	k	4.813781191217037	4.397702856767622	F
kida	1634	4	4	2	i	3.4844356247671917	2.1074155831564583	F
kida	1634	4	4	3	d	3.700439718141092	4.849328093912293	F
kida	1634	4	4	4	a	-0.0	2.1585477907093464	F
bass	1539	4	4	1	b	4.0698895987017405	3.8270314287340796	F
bass	1539	4	4	2	a	1.0941574938243477	1.5141923339263639	F
bass	1539	4	4	3	s	6.376224072202503	4.870609013999471	F
bass	1539	4	4	4	s	0.040668023808970895	4.722316069161379	F
illi	1510	4	4	1	i	3.2915847146460635	3.153909800975479	F
illi	1510	4	4	2	l	0.9130063794241662	3.8102248023371383	F
illi	1510	4	4	3	l	6.625505918098818	2.948664072668662	F
illi	1510	4	4	4	i	0.06720105026035057	2.798169823680633	F
huwwa	1394	5	4	1	h	5.541354380314796	4.976599998365179	F
huwwa	1394	5	4	2	u	3.025315620738206	4.010873103836747	F
huwwa	1394	5	4	3	w	0.3198567448676676	4.260917962049665	F
huwwa	1394	5	4	4	w	-0.0	4.932663148837235	F
huwwa	1394	5	4	5	a	-0.0	2.0581231396716166	F
M	1266	1	1	1	M	6.710485469105932	6.710485469105932	F
cala	1262	4	4	1	c	4.496937547579355	4.227421112109043	F
cala	1262	4	4	2	a	0.47273274778897517	1.5141923339263639	F
cala	1262	4	4	3	l	2.1112378690561293	2.948664072668662	F
cala	1262	4	4	4	a	1.2458839041327412	2.1585477907093464	F
min	1257	3	3	1	m	3.4625548838858746	3.331579433390396	F
min	1257	3	3	2	i	2.063502942306158	2.1074155831564583	F
min	1257	3	3	3	n	3.257577683477305	3.576523862206714	F
HAgaB	1203	5	5	1	H	5.4473701334168805	4.975572559716967	F
HAgaB	1203	5	5	2	A	3.8625400352253525	3.8939855055750163	F
HAgaB	1203	5	5	3	g	3.3715588626119626	5.493261950239264	F
HAgaB	1203	5	5	4	a	0.023787761351310093	2.1585477907093464	F
HAgaB	1203	5	5	5	B	-0.0	5.031372889885857	F
inta	1198	4	4	1	i	3.2617743851616114	3.153909800975479	F
inta	1198	4	4	2	n	2.4743057136805837	4.186609709630285	F
inta	1198	4	4	3	t	1.514155182086319	4.091635893311689	F
inta	1198	4	4	4	a	0.7827165967504708	2.1585477907093464	F
baqa	1164	4	4	1	b	4.0062929741472315	3.8270314287340796	F
baqa	1164	4	4	2	a	1.020968224111036	1.5141923339263639	F
