WORD	FREQUENCY	LENGTH	UP	POSITION	PHONE	SEQ_INFO	POSITION_INFO	MONOMORPHEME
wi	7671	2	2	1	i	2.8750274565547436	2.4244405593167935	F
wi	7671	2	2	2	w	4.952248839014448	3.5900473171797507	F
ah	5030	2	2	1	h	5.474416363177555	4.069092851767054	F
ah	5030	2	2	2	a	7.486332252768665	2.556256204941688	F
yacni	3538	5	5	1	i	2.6084738907766427	2.4244405593167935	F
yacni	3538	5	5	2	n	4.214233897949284	3.3938968256028845	F
yacni	3538	5	5	3	c	4.5109619192773796	4.033065615858325	F
yacni	3538	5	5	4	a	-0.0	2.3245631855170643	F
yacni	3538	5	5	5	y	0.18442457113742744	3.627872546446266	F
ana	3352	3	3	1	a	2.201834820060699	2.076141789813521	F
ana	3352	3	3	2	n	3.404903943901173	3.3938968256028845	F
ana	3352	3	3	3	a	4.77295221792546	2.6084155846050474	F
fi	2608	2	2	1	i	2.5567799311594492	2.4244405593167935	F
fi	2608	2	2	2	f	8.676218296079169	5.123027068953731	F
la	2388	2	2	1	a	2.1638764204075525	2.076141789813521	F
la	2388	2	2	2	l	3.483263463975785	3.5012179993678383	F
Eh	2253	2	2	1	h	4.5288073392674235	4.069092851767054	F
Eh	2253	2	2	2	E	4.10986658795161	4.784324609622994	F
ya	2108	2	2	1	a	2.153138742876238	2.076141789813521	F
ya	2108	2	2	2	y	4.284738419082229	4.776659651411793	F
mi$	2059	3	3	1	$	6.055122175656482	5.042849792228921	F
mi$	2059	3	3	2	i	2.2558498737844883	3.2258362178830584	F
mi$	2059	3	3	3	m	3.9281070815182146	3.6003763182687254	F
da	1755	2	2	1	a	2.1397791537445277	2.076141789813521	F
da	1755	2	2	2	d	3.9787264050398106	4.406498919641508	F
ma	1686	2	2	1	a	2.1371905465077687	2.076141789813521	F
ma	1686	2	2	2	m	4.812406108346487	5.175278526234872	F
E	1643	1	1	1	E	8.478921123576246	6.043567372467981	F
kida	1634	4	4	1	a	2.1352445751836835	2.076141789813521	F
kida	1634	4	4	2	d	3.89474516574643	4.406498919641508	F
kida	1634	4	4	3	i	1.154737559505803	4.223125428720256	F
kida	1634	4	4	4	k	-0.0	4.659486732582826	F
bass	1539	4	4	1	s	6.545403489745988	5.493965627279443	F
bass	1539	4	4	2	s	7.284374292177588	5.831507363944369	F
bass	1539	4	4	3	a	-0.0	2.6084155846050474	F
bass	1539	4	4	4	b	-0.0	3.9539380637127968	F
illi	1510	4	4	1	i	2.4989312433368487	2.4244405593167935	F
illi	1510	4	4	2	l	4.187074066373154	3.5012179993678383	F
illi	1510	4	4	3	l	1.1168000107913059	3.2215161758585986	F
illi	1510	4	4	4	i	6.612254192388896	2.8085217734968917	F
huwwa	1394	5	5	1	a	2.126316881035952	2.076141789813521	F
huwwa	1394	5	5	2	w	4.7848689279894865	3.5900473171797507	F
huwwa	1394	5	5	3	w	4.232131424536717	5.37405548750008	F
huwwa	1394	5	5	4	u	-0.0	4.386729635436534	F
huwwa	1394	5	5	5	h	0.7286979781826057	4.311560243160865	F
M	1266	1	1	1	M	6.710485469105932	6.710485469105932	F
cala	1262	4	4	1	a	2.121443916084904	2.076141789813521	F
cala	1262	4	4	2	l	3.018667827855252	3.5012179993678383	F
cala	1262	4	4	3	a	3.667880503136546	2.6084155846050474	F
cala	1262	4	4	4	c	0.30120267003541584	4.588816697415343	F
min	1257	3	3	1	n	3.9942003343344874	3.8031391176759355	F
min	1257	3	3	2	i	2.523780801534867	3.2258362178830584	F
min	1257	3	3	3	m	1.097621523023479	3.6003763182687254	F
HAgaB	1203	5	5	1	B	4.059600306542769	3.867752837109939	F
HAgaB	1203	5	5	2	a	0.006606934517604355	2.556256204941688	F
HAgaB	1203	5	5	3	g	6.16900556030426	5.313375178972496	F
HAgaB	1203	5	5	4	A	0.5013977840820251	3.3801221258084553	F
HAgaB	1203	5	5	5	H	0.45943161863729726	4.569113380684406	F
inta	1198	4	4	1	a	2.119090690941764	2.076141789813521	F
inta	1198	4	4	2	t	6.557931852043402	5.20048973502595	F
inta	1198	4	4	3	n	3.7414669864011474	4.295770730552022	F
inta	1198	4	4	4	i	-0.0	2.8085217734968917	F
baqa	1164	4	4	1	a	2.117843030240935	2.076141789813521	F
baqa	1164	4	4	2	q	5.414307077040618	5.874056414206374	F
baqa	1164	4	4	3	a	7.149747119504682	2.6084155846050474	F
baqa	1164	4	4	4	b	0.0061838716233724505	3.9539380637127968	F
di	1031	2	2	1	i	2.474695400299571	2.4244405593167935	F
di	1031	2	2	2	d	5.3935981108707525	4.406498919641508	F
hiyya	884	5	5	1	a	2.107633317412549	2.076141789813521	F
hiyya	884	5	5	2	y	3.4851058233445498	4.776659651411793	F
hiyya	884	5	5	3	y	3.513289871293392	3.970685258982759	F
hiyya	884	5	5	4	i	0.6529392945371632	2.8085217734968917	F
hiyya	884	5	5	5	h	2.2937312030567103	4.311560243160865	F
aywa	856	4	4	1	a	2.1066186858764215	2.076141789813521	F
aywa	856	4	4	2	w	4.231698840607074	3.5900473171797507	F
aywa	856	4	4	3	y	1.5369824718193348	3.970685258982759	F
aywa	856	4	4	4	a	-0.0	2.3245631855170643	F
Tab	751	3	3	1	b	6.276184594970654	5.756803894843491	F
Tab	751	3	3	2	a	3.0110682369562	2.556256204941688	F
Tab	751	3	3	3	T	4.913744266649581	6.4480247056672795	F
in	717	2	2	1	n	3.9085545155311485	3.8031391176759355	F
in	717	2	2	2	i	2.1539942904063483	3.2258362178830584	F
Tayyib	708	6	6	1	b	6.2406381833058395	5.756803894843491	F
Tayyib	708	6	6	2	i	3.7458165117484716	3.2258362178830584	F
Tayyib	708	6	6	3	y	0.8325432541484372	3.970685258982759	F
Tayyib	708	6	6	4	y	0.7303929402427201	4.6789886374972784	F
Tayyib	708	6	6	5	a	-0.0	2.3175369459023565	F
Tayyib	708	6	6	6	T	0.08698330159463985	4.863743100338094	F
walla	698	5	5	1	a	2.100914640718947	2.076141789813521	F
walla	698	5	5	2	l	2.84192807060503	3.5012179993678383	F
walla	698	5	5	3	l	4.094545636507001	3.2215161758585986	F
walla	698	5	5	4	a	0.5536910390648743	2.3245631855170643	F
walla	698	5	5	5	w	0.316129140604748	4.82903007181437	F
inti	649	4	4	1	i	2.4557785260592064	2.4244405593167935	F
inti	649	4	4	2	t	4.764155640007448	5.20048973502595	F
inti	649	4	4	3	n	3.449683642085735	4.295770730552022	F
inti	649	4	4	4	i	0.9475325801058645	2.8085217734968917	F
hina	618	4	4	1	a	2.098040282226666	2.076141789813521	F
hina	618	4	4	2	n	2.5167679561578784	3.3938968256028845	F
hina	618	4	4	3	i	2.749340082092962	4.223125428720256	F
hina	618	4	4	4	h	1.199195846156177	6.098015420489722	F
kAn	600	3	3	1	n	3.8907381381194184	3.8031391176759355	F
kAn	600	3	3	2	A	2.82120281545677	4.202953073770502	F
kAn	600	3	3	3	k	4.275694754690562	5.340482379358415	F
iHna	576	4	4	1	a	2.096534925176958	2.076141789813521	F
iHna	576	4	4	2	n	2.507525906838342	3.3938968256028845	F
iHna	576	4	4	3	H	6.914351909089179	5.951884747281742	F
iHna	576	4	4	4	i	2.0324214776923775	2.8085217734968917	F
rabbina	574	7	7	1	a	2.0964633045515773	2.076141789813521	F
rabbina	574	7	7	2	n	2.507087907716339	3.3938968256028845	F
rabbina	574	7	7	3	i	2.6839289515221774	4.223125428720256	F
rabbina	574	7	7	4	b	6.26337591253225	3.9539380637127968	F
rabbina	574	7	7	5	b	-0.0	4.256795729526704	F
rabbina	574	7	7	6	a	-0.0	2.6285469364223846	F
rabbina	574	7	7	7	r	-0.0	5.154423907902125	F
fI	573	2	2	1	I	9.6009076874605	7.479328757995677	F
fI	573	2	2	2	f	4.409390936137702	5.123027068953731	F
mhm	569	3	3	1	m	5.3308622378191615	5.106279202723434	F
mhm	569	3	3	2	h	6.007054757533951	4.80319981666202	F
mhm	569	3	3	3	m	0.12383956296765566	3.6003763182687254	F
wallAhi	566	7	4	1	i	2.4517152547237044	2.4244405593167935	F
wallAhi	566	7	4	2	h	7.209931712795431	4.80319981666202	F
wallAhi	566	7	4	3	A	0.3651167614950549	4.910674612136417	F
wallAhi	566	7	4	4	l	-0.0	4.580420776294286	F
wallAhi	566	7	4	5	l	-0.0	3.4427083213367853	F
wallAhi	566	7	4	6	a	-0.0	2.6285469364223846	F
wallAhi	566	7	4	7	w	-0.0	5.0380997899348925	F
