WORD	FREQUENCY	LENGTH	UP	POSITION	PHONE	SEQ_INFO	POSITION_INFO	MONOMORPHEME
uN	11093	2	2	1	N	3.6970510010957307	2.653184615518737	F
uN	11093	2	2	2	u	2.7480081531024405	3.2007711346157675	F
no	5136	2	2	1	o	2.9031359609097858	2.562685561827238	F
no	5136	2	2	2	n	2.8315856898452068	2.5614294505244906	F
ne	3673	2	2	1	e	3.2393893414225023	2.9197647995428064	F
ne	3673	2	2	2	n	4.428230394355731	2.5614294505244906	F
i	3350	1	1	1	i	3.3489215345093517	3.031442265522821	F
s0	2992	2	2	1	0	4.818460297449284	4.094981051629299	F
s0	2992	2	2	2	s	6.949534933017013	4.428805179972279	F
ni	2720	2	2	1	i	3.282218705254397	3.031442265522821	F
ni	2720	2	2	2	n	4.507135109345545	2.5614294505244906	F
da	2416	2	2	1	a	2.1888051569975957	2.09286331568455	F
da	2416	2	2	2	d	5.749480634886457	4.069565255912566	F
ga	2241	2	2	1	a	2.1815068180835318	2.09286331568455	F
ga	2241	2	2	2	g	6.069984402735635	5.097639321328011	F
ha	2180	2	2	1	a	2.1789763438851795	2.09286331568455	F
ha	2180	2	2	2	h	6.503865614031654	5.3917977917761695	F
N	1888	1	1	1	N	2.775200010033022	2.653184615518737	F
n@	1864	2	2	1	@	5.875062594639571	4.979837500000402	F
n@	1864	2	2	2	n	4.9480236100418145	2.5614294505244906	F
ru	1788	2	2	1	u	3.967825101897679	3.6935114725406604	F
ru	1788	2	2	2	r	1.8688032404535893	3.2199007020566515	F
kara	1667	4	4	1	a	2.157966757742766	2.09286331568455	F
kara	1667	4	4	2	r	3.428458015041165	3.2199007020566515	F
kara	1667	4	4	3	a	0.7999302479857372	1.9846861633773318	F
kara	1667	4	4	4	k	0.4917002765592984	2.3596657710770708	F
tte	1625	3	3	1	e	3.050223718691055	2.9197647995428064	F
tte	1625	3	3	2	t	2.370266911983647	3.0790329283764213	F
tte	1625	3	3	3	t	2.443006070724186	3.8476485511576497	F
na	1618	2	2	1	a	2.155984967628289	2.09286331568455	F
na	1618	2	2	2	n	4.32073055666459	2.5614294505244906	F
de	1588	2	2	1	e	3.0470782692077045	2.9197647995428064	F
de	1588	2	2	2	d	4.513552557383946	4.069565255912566	F
yo	1524	2	2	1	o	2.6527976202387378	2.562685561827238	F
yo	1524	2	2	2	y	7.738165707248908	5.363158990551399	F
ano	1499	3	3	1	o	2.6512545820632276	2.562685561827238	F
ano	1499	3	3	2	n	1.7397556816332878	2.5614294505244906	F
ano	1499	3	3	3	a	9.716452036129724	1.9846861633773318	F
aa	1400	2	2	1	a	2.147219782219078	2.09286331568455	F
aa	1400	2	2	2	a	4.356183088862461	4.207007899175758	F
to	1390	2	2	1	o	2.644553405336688	2.562685561827238	F
to	1390	2	2	2	t	2.676278496423291	3.0790329283764213	F
te	1339	2	2	1	e	3.0261349382935556	2.9197647995428064	F
te	1339	2	2	2	t	2.2611926712733785	3.0790329283764213	F
mo	1211	2	2	1	o	2.6336411441937893	2.562685561827238	F
mo	1211	2	2	2	m	3.935806799777348	4.494853695958298	F
kedo	1196	4	4	1	o	2.6327318719655657	2.562685561827238	F
kedo	1196	4	4	2	d	5.436996013209986	4.069565255912566	F
kedo	1196	4	4	3	e	2.041268018371734	3.777210809868677	F
kedo	1196	4	4	4	k	0.13492958008610853	2.3596657710770708	F
sa	1190	2	2	1	a	2.138855234762031	2.09286331568455	F
sa	1190	2	2	2	s	7.320133857241827	4.428805179972279	F
at	1091	2	2	1	t	7.922393844321117	6.286556319559675	F
at	1091	2	2	2	a	1.909716639687282	4.207007899175758	F
m0	1027	2	2	1	0	4.301244313268176	4.094981051629299	F
m0	1027	2	2	2	m	2.8330132340208922	4.494853695958298	F
dakara	920	6	6	1	a	2.1282127473419203	2.09286331568455	F
dakara	920	6	6	2	r	3.0985561363122742	3.2199007020566515	F
dakara	920	6	6	3	a	0.5771500536108582	1.9846861633773318	F
dakara	920	6	6	4	k	0.307071466647945	2.3596657710770708	F
dakara	920	6	6	5	a	7.110131916600055	2.321928094887362	F
dakara	920	6	6	6	d	0.02024321990738357	3.015046294047623	F
toka	852	4	4	1	a	2.125552001380274	2.09286331568455	F
toka	852	4	4	2	k	3.818804740862183	3.8204312926410706	F
toka	852	4	4	3	o	3.3559435491565854	2.695188015958234	F
toka	852	4	4	4	t	2.577657700097923	3.9561226559828	F
ta	825	2	2	1	a	2.1244976948174483	2.09286331568455	F
ta	825	2	2	2	t	3.255619738876001	3.0790329283764213	F
demo	823	4	4	1	o	2.610373175158649	2.562685561827238	F
demo	823	4	4	2	m	3.5878018935701568	4.494853695958298	F
demo	823	4	4	3	e	4.680119733761496	3.777210809868677	F
