WORD	FREQUENCY	LENGTH	POSITION	PHONE	SEQ_INFO	POSITION_INFO	MONOMORPHEME
and	28924	3	1	@	3.7077685311392967	3.7077685311392967	T
and	28924	3	2	n	0.6368932002613752	3.0663018871707184	T
and	28924	3	3	d	0.2081856170955042	3.031096755020282	T
to	26243	2	1	t	4.012185447373834	4.012185447373834	T
to	26243	2	2	u	0.5487148248197464	3.917010469988664	T
a	23178	1	1	x	4.207448696072733	4.207448696072733	T
in	21405	2	1	I	3.573469290533043	3.573469290533043	T
in	21405	2	2	n	0.9593664483459114	3.0663018871707184	T
that	10595	3	1	D	4.159988485837143	4.159988485837143	T
that	10595	3	2	@	1.3046333704558062	3.810961972491285	T
that	10595	3	3	t	0.5371089858663585	3.303152334587162	T
is	10107	2	1	I	3.573469290533043	3.573469290533043	F
is	10107	2	2	z	2.496290305042884	5.212838046292239	F
was	9816	3	1	w	3.94980941149162	3.94980941149162	F
was	9816	3	2	x	2.162097864264315	4.68721722119984	F
was	9816	3	3	z	-0.0	4.032214965719567	F
he	9547	2	1	h	3.48891870910665	3.48891870910665	T
he	9547	2	2	i	2.640882917318035	4.137075895831398	T
for	9501	3	1	f	4.378782807251966	4.378782807251966	T
for	9501	3	2	o	1.6017265793881137	4.302135142101894	T
for	9501	3	3	r	0.03504034813595147	3.438078305729701	T
it	8772	2	1	I	3.573469290533043	3.573469290533043	T
it	8772	2	2	t	2.3780816135952416	4.568981856517515	T
with	7290	3	1	w	3.94980941149162	3.94980941149162	T
with	7290	3	2	I	1.9414702077239323	3.5399739951670233	T
with	7290	3	3	T	0.5373842043484995	5.419969695485333	T
as	7253	2	1	@	3.7077685311392967	3.7077685311392967	T
as	7253	2	2	z	2.8406961447100594	5.212838046292239	T
his	6997	3	1	h	3.48891870910665	3.48891870910665	T
his	6997	3	2	I	2.3416016777295994	3.5399739951670233	T
his	6997	3	3	z	0.769785646267835	4.032214965719567	T
on	6761	2	1	c	5.47677827952173	5.47677827952173	T
on	6761	2	2	n	1.1600694902837065	3.0663018871707184	T
be	6387	2	1	b	4.23303566726783	4.23303566726783	T
be	6387	2	2	i	2.2495268651299005	4.137075895831398	T
at	5377	2	1	@	3.7077685311392967	3.7077685311392967	T
at	5377	2	2	t	3.202556005682279	4.568981856517515	T
by	5342	2	1	b	4.23303566726783	4.23303566726783	T
by	5342	2	2	Y	2.691933037196981	4.834123925313299	T
i	5159	1	1	Y	6.775239769832625	6.775239769832625	T
this	5145	3	1	D	4.159988485837143	4.159988485837143	T
this	5145	3	2	I	2.883882961800366	3.5399739951670233	T
this	5145	3	3	s	-0.0	3.7923572596622295	T
had	5134	3	1	h	3.48891870910665	3.48891870910665	F
had	5134	3	2	@	2.1710587219243815	3.810961972491285	F
had	5134	3	3	d	1.3869817978123902	3.031096755020282	F
not	4619	3	1	n	5.120974600257426	5.120974600257426	T
not	4619	3	2	a	1.9783479751992523	5.106375400959558	T
not	4619	3	3	t	0.09204135269214553	3.303152334587162	T
the	4461	2	1	D	4.159988485837143	4.159988485837143	T
the	4461	2	2	x	3.0896868908081223	4.68721722119984	T
are	4394	2	1	a	6.7211023763107764	6.7211023763107764	F
are	4394	2	2	r	0.27587045668959714	4.094086385655719	F
but	4382	3	1	b	4.23303566726783	4.23303566726783	T
but	4382	3	2	^	2.924258142405354	4.624807379357351	T
but	4382	3	3	t	0.10179083369646755	3.303152334587162	T
from	4372	4	1	f	4.378782807251966	4.378782807251966	T
from	4372	4	2	r	2.4577967864787458	4.094086385655719	T
from	4372	4	3	^	0.353232214805372	5.821806808373051	T
from	4372	4	4	m	0.08893731521085148	4.758749079692958	T
or	4223	2	1	o	6.128165664654642	6.128165664654642	T
or	4223	2	2	r	1.1446559203414777	4.094086385655719	T
have	3942	3	1	h	3.48891870910665	3.48891870910665	T
have	3942	3	2	@	2.1710587219243815	3.810961972491285	T
have	3942	3	3	v	1.6691385150406526	5.206863794465397	T
an	3739	2	1	@	3.7077685311392967	3.7077685311392967	T
an	3739	2	2	n	0.6368932002613752	3.0663018871707184	T
they	3624	2	1	D	4.159988485837143	4.159988485837143	T
they	3624	2	2	e	3.3894710835354616	4.924064570484207	T
which	3560	4	1	h	3.48891870910665	3.48891870910665	T
which	3560	4	2	w	2.513493131432491	5.6767397561594395	T
which	3560	4	3	I	1.5478441379295307	5.469232618216485	T
which	3560	4	4	C	0.02207533048335586	5.406475266009609	T
one	3439	3	1	w	3.94980941149162	3.94980941149162	T
one	3439	3	2	^	3.407253910557342	4.624807379357351	T
one	3439	3	3	n	-0.0	3.466069566004267	T
were	3287	2	1	w	3.94980941149162	3.94980941149162	F
were	3287	2	2	X	3.74046165684691	6.960759685904837	F
you	3287	2	1	y	6.300861736464811	6.300861736464811	T
you	3287	2	2	u	0.7981694737397648	3.917010469988664	T
all	3093	2	1	c	5.47677827952173	5.47677827952173	T
all	3093	2	2	l	1.4879842099824394	5.404167396791968	T
her	3036	2	1	h	3.48891870910665	3.48891870910665	T
her	3036	2	2	R	4.150045380633648	5.602432830287468	T
she	2860	2	1	S	6.705271702377709	6.705271702377709	T
she	2860	2	2	i	1.1430133920052827	4.137075895831398	T
there	2728	3	1	D	4.159988485837143	4.159988485837143	T
there	2728	3	2	@	1.3046333704558062	3.810961972491285	T
there	2728	3	3	r	2.365656690790678	3.438078305729701	T
would	2720	3	1	w	3.94980941149162	3.94980941149162	T
would	2720	3	2	U	3.826361730252557	5.80841122702092	T
would	2720	3	3	d	0.11687540364556337	3.031096755020282	T
their	2668	3	1	D	4.159988485837143	4.159988485837143	T
their	2668	3	2	E	2.625529595248152	4.183923722027239	T
their	2668	3	3	r	1.1789789875661536	3.438078305729701	T
we	2652	2	1	w	3.94980941149162	3.94980941149162	T
we	2652	2	2	i	3.8717897943289317	4.137075895831398	T
him	2619	3	1	h	3.48891870910665	3.48891870910665	T
him	2619	3	2	I	2.3416016777295994	3.5399739951670233	T
him	2619	3	3	m	1.8845413873172268	4.304809793489293	T
been	2472	3	1	b	4.23303566726783	4.23303566726783	F
been	2472	3	2	I	3.071348726125184	3.5399739951670233	F
been	2472	3	3	n	0.7589660621847201	3.466069566004267	F
has	2436	3	1	h	3.48891870910665	3.48891870910665	F
has	2436	3	2	@	2.1710587219243815	3.810961972491285	F
has	2436	3	3	z	2.456050992308419	4.032214965719567	F
when	2333	4	1	h	3.48891870910665	3.48891870910665	T
when	2333	4	2	w	2.513493131432491	5.6767397561594395	T
when	2333	4	3	E	1.6403694660004982	5.338239513143973	T
when	2333	4	4	n	0.5157263820784349	3.8692006822419276	T
who	2252	2	1	h	3.48891870910665	3.48891870910665	T
who	2252	2	2	u	4.501284073737273	3.917010469988664	T
will	2250	3	1	w	3.94980941149162	3.94980941149162	T
will	2250	3	2	I	1.9414702077239323	3.5399739951670233	T
will	2250	3	3	l	2.288637971091275	4.306715153070431	T
more	2216	3	1	m	4.645065859734193	4.645065859734193	T
more	2216	3	2	o	2.7344687081960997	4.302135142101894	T
more	2216	3	3	r	0.8183665589878687	3.438078305729701	T
if	2197	2	1	I	3.573469290533043	3.573469290533043	T
if	2197	2	2	f	4.563343326985713	6.882509956548473	T
out	2165	2	1	W	7.358108879558831	7.358108879558831	T
out	2165	2	2	t	0.6637787483135789	4.568981856517515	T
no	2158	2	1	n	5.120974600257426	5.120974600257426	T
