word	token.freq
ri	87731
chi	29184
pa	15920
chuqa'	12873
jun	12687
k'o	10479
ta	9997
ri'	8780
richin	7764
taq	7575
re	7534
k'a	7338
achike	7154
man	7110
ruma	6495
toq	5580
e	5517
kan	5491
re'	5395
ja	5385
ke	5289
winäq	5133
tzij	4887
chik	4773
rik'in	4609
xa	4002
rij	3793
pe	3764
jehová	3445
wi	3320
samaj	3152
chupam	3082
wuj	2885
q'ij	2671
ruwi'	2547
winaqi'	2471
ronojel	2254
ütz	2240
achi'el	2172
loq'oläj	2124
rub'eyal	2077
el	2052
majun	2016
rija'	2013
o	2009
jesús	1900
nub'ij	1853
b'ey	1834
juna'	1821
xub'ij	1805
we	1761
ruwach'ulew	1742
la	1722
chuwäch	1677
rub'anik	1643
tinamït	1628
y	1587
k'ïy	1550
kiwäch	1541
na'oj	1526
nub'än	1518
ruwäch	1485
dios	1475
apo	1446
nuya'	1369
k'ayewal	1357
xe	1336
nab'ey	1334
na	1334
wakami	1334
i	1316
rije'	1286
rutzijol	1281
qa	1270
janila	1268
a	1251
más	1242
kik'in	1238
aj	1235
saqamaq'	1226
xub'än	1207
ki'	1162
ka'i'	1116
de	1113
konojel	1101
tata'ixel	1061
ruq'ij	1052
qitzij	1036
tijonïk	1033
ya'	982
ch'ab'äl	934
jujun	922
moloj	919
k'aslem	873
yan	869
tikirel	861
itzel	841
ma	836
rejqalem	824
röj	821
akuchi'	794
rat	779
kiwi'	760
jalajöj	752
xuya'	746
la'	738
ruchuq'a'	737
kik'aslem	726
ik'	725
ruq'a'	705
rusamaj	702
k'u'x	695
'	691
ti	687
kij	682
ch'aqa	678
retal	678
tzijonem	673
nkib'än	666
iximulew	660
nrajo'	658
k'atzinel	652
yalan	652
ulew	644
oxi'	641
juan	636
ruk'aslem	634
chïk	631
amaq'	622
nimaläj	618
mokaj	613
manäq	611
nb'an	608
utziläj	601
k'amöl	601
jay	596
nk'atzin	587
rub'i'	575
nqab'än	573
j	571
qawäch	569
ojer	568
kaj	562
ja'	551
molaj	544
nkiya'	543
akuchi	538
b	531
pan	528
ixoqi'	513
pwäq	512
che'	512
maya'	511
samajela'	510
jub'a'	508
rïn	506
q'atöy	498
q'atb'äl	498
b'anob'äl	495
tasik'ij	482
b'a'	481
k'utunïk	479
ruk'u'x	478
taqonem	474
kichin	472
ch'a'oj	465
choj	464
ixöq	464
kisamaj	464
stape'	463
nïm	462
k'ak'a'	461
junam	458
achi'a'	458
roma	455
qach'alal	451
rupam	448
rutzij	447
xkib'än	444
mateo	442
qe	441
qi'	441
nkib'ij	438
rub'anon	436
b'a	433
utzil	432
ruq'ijul	431
nab'än	425
ak'wala'	416
oyowal	416
wawe'	411
jeb'ël	411
xtub'än	407
ya	400
taqanem	399
ramaj	398
juyu'	397
pwaq	397
rub'anikil	396
raqän	393
po	392
peraj	384
molojri'ïl	382
wa	381
satanás	378
kina'oj	377
ruka'n	373
cha'	372
rucholajem	366
mul	365
ntikïr	364
achin	364
nimanela'	364
rokisaxik	364
k	362
wachib'äl	359
samajel	357
yab'il	353
san	352
israelitas	344
amaq'el	343
kamïk	342
k'aslemal	339
k'ayew	338
nel	337
c	336
en	334
xb'anatäj	333
nuk'üt	331
nib'an	329
l	325
mak	325
runa'oj	322
jantape'	322
nya'	316
uk'wäy	316
xb'an	312
qati't	311
ok	311
pero	311
nqaya'	308
kaqchikel	307
qak'aslem	307
ij	302
ruk'isib'äl	302
pedro	302
xb'e	302
tqasik'ij	300
chikopi'	300
kiq'ij	300
niya'	299
ruch'ab'äl	299
nima'q	298
tanaj	298
in	296
salmo	295
poqonal	294
ya'on	294
oj	293
awi'	292
tatz'eta'	291
ak'wal	290
ruk'amon	290
nik'aj	290
uchuq'a'	290
ta'	289
täq	288
ajaw	286
nqetamaj	286
xkiya'	286
kuma	286
r	283
xk'oje'	283
mani	282
kaxlan	281
ruq'alajrisanela'	279
tata'aj	279
winaqilal	279
aq'om	278
nkajo'	278
chanpomal	273
chawe	271
q'aq'	270
junan	270
tajin	270
xkib'ij	269
ch'aqa'	268
tijob'äl	267
nqajo'	265
itzelal	264
n	263
juk'an	263
lajuj	261
nawajo'	261
na'ojil	260
rulewal	258
xpe	258
ajawaren	258
rochoch	258
petenäq	256
pablo	256
najin	252
te'ej	251
nimab'äl	251
kaji'	246
chwäch	246
mechanpomal	245
achi	245
qamama'	242
xtuya'	242
kikotem	240
nawetamaj	238
xcha'	236
nk'oje'	236
rutzil	235
ik	234
tz'etb'äl	234
nqa	234
kib'i'	233
kikojol	232
ruya'ik	232
retaman	232
rusamajela'	230
samajib'äl	229
josé	227
q	226
qawi'	224
ruxaq	223
saqil	222
david	222
qawinaq	222
rutzijoxik	218
lucas	218
xok	218
q'ayïs	218
rutzeqelib'ey	216
rusamajixik	216
kik'u'x	215
nikib'än	215
ruya'on	213
nq'ax	213
wi'	213
napon	212
eee	211
winaqil	211
qetaman	209
ketaman	209
rutinamit	207
yesamäj	206
xuk'üt	205
nya'öx	205
apocalipsis	203
rub'ey	203
xutz'ët	203
nch'on	202
at	202
naya'	202
yetikïr	202
si	202
qana'oj	202
samajay	202
ruxe'el	201
jäb'	201
kiq'a'	201
ruk'ajol	200
nikib'ij	200
qak'u'x	199
chawäch	199
xrajo'	199
ala'	199
rutata'	199
xtän	198
b'anon	198
jumul	198
moisés	196
kaq'ïq'	195
chuwa	193
ye'ok	193
génesis	193
k'äs	193
majani	193
rupalb'al	192
runuk'ulem	192
moka	190
corintios	190
ruk'exel	188
yojtikïr	188
hechos	188
nasik'ij	187
x	186
kow	186
isaías	185
xkäm	185
rajowaxik	184
qanima	183
kich'ojib'al	183
runuk'ik	182
nq'alajin	181
xek'oje'	181
al	181
awetaman	181
ee	181
titz'et	181
kib'anon	178
jub'a	178
achoj	178
del	177
qate'	176
xtani'	175
rajil	175
natz'ët	175
nok	174
wachinäq	174
nb'ïx	174
jikib'an	173
q'	173
nqab'ij	173
xapon	172
tijoj	172
kuchuq'a'	171
nab'ij	171
qonojel	169
samuel	169
nya'on	168
adán	168
ruchojmilal	168
wo'o'	168
nqatz'ët	168
b'i'aj	168
tz'aqät	167
meb'a'il	167
etamab'äl	167
rox	166
tqatz'eta'	166
yatikïr	165
chwe	165
tiko'n	165
ajowab'äl	165
ka'	164
t	163
entonses	162
jerusalén	161
nicha'	160
näj	160
ru	160
timoteo	160
aq'a'	159
tik'asäs	158
proverbios	158
ab'äj	158
yeb'e	158
nuk'äm	157
xel	157
ape'	157
eqal	157
ruchi'	157
ch'ojib'äl	156
rachib'il	155
u	155
achiki	155
natïj	155
nikiya'	154
kejqalem	154
wuqu'	154
yeb'an	153
jaloj	153
kemon	153
nokisäx	153
chupan	153
nutz'ët	152
rute'	152
k'iyinem	152
que	151
k'o'	151
xya'	151
kib'anikil	151
jampe'	150
xq'ax	150
kitzij	149
yojruto'	149
cholk'aslemal	149
rïx	149
tüs	148
ranima	148
rujuna'	148
sipanïk	148
k'ojlib'äl	147
las	147
ni	146
rajawaren	146
tab'ana'	146
jarupe'	145
ruk'ayewal	144
