word	freq	tone	vowel	rhyme	coda	heavy_syllable	average_info
wa3n	992	3	a	an	n	T	7.34359132622
fa3	3353	3	a	a	NA	F	6.85452002123
tia1n	5684	1	ia	ian	n	T	3.65786686838
fa1	6008	1	a	a	NA	F	7.02753190796
lua4n	204	4	ua	uan	n	T	5.88864509307
fa4	30	4	a	a	NA	F	8.73841914594
wa1i	5	1	ai	ai	NA	T	11.8518434729
ya4ng	2463	4	a	ang	ng	T	4.21710789809
hu2n	21	2	u	un	n	T	10.8494520362
she2n	1078	2	e	en	n	T	7.87248407926
hui4	11411	4	ui	ui	NA	T	5.06239896753
she2ng	32	2	e	eng	ng	T	8.93956991971
cho2ng	575	2	o	ong	ng	T	9.86460705817
xia1ng	2782	1	ia	iang	ng	T	8.24294820038
ce2ng	692	2	e	eng	ng	T	8.25090366362
ga3ng	906	3	a	ang	ng	T	5.56743317192
gu3	1387	3	u	u	NA	F	7.83229646538
we4i	5749	4	ei	ei	NA	T	5.34572750625
gu1	268	1	u	u	NA	F	9.23003494567
we4n	3242	4	e	en	n	T	6.25653839601
gu4	824	4	u	u	NA	F	7.92998378861
di4	8563	4	i	i	NA	F	6.32865016858
ga1ng	1361	1	a	ang	ng	T	6.66594807851
sa3o	91	3	ao	ao	NA	T	9.83979875269
sa3n	39	3	a	an	n	T	8.14408009709
di1	470	1	i	i	NA	F	8.06097592784
di2	57915	2	i	i	NA	F	4.12404470067
di3	1004	3	i	i	NA	F	7.35680993618
me	3890	NA	e	e	NA	F	1.44788107153
zo4ng	51	4	o	ong	ng	T	9.64424710357
lo2ng	450	2	o	ong	ng	T	7.71145863553
co2ng	2215	2	o	ong	ng	T	8.63190025867
no2ng	1270	2	o	ong	ng	T	8.50434662204
zuo4	6743	4	uo	uo	NA	T	5.57667510793
jua4n	41	4	ua	uan	n	T	11.5679648105
zuo2	499	2	uo	uo	NA	T	9.68711001714
zi4	3002	4	i	i	NA	F	7.55582996841
fe2n	36	2	e	en	n	T	10.9362543362
xue1	56	1	ue	ue	NA	T	12.3017289537
zhu3n	874	3	u	un	n	T	7.15073345809
qia1	4	1	ia	ia	NA	T	11.5780669359
duo1	4668	1	uo	uo	NA	T	5.14048149096
qia3	570	3	ia	ia	NA	T	8.48906921463
duo3	43	3	uo	uo	NA	T	10.1520743786
duo4	14	4	uo	uo	NA	T	12.1943874795
qia4	73	4	ia	ia	NA	T	9.53019165006
